Block,Species,Sex,Year,Quota
Deka Pool,Baboon,Male,2000,
Deka Pool,Baboon,Male,2001,
Deka Pool,Baboon,Male,2002,
Deka Pool,Baboon,Male,2003,
Deka Pool,Baboon,Male,2004,
Deka Pool,Baboon,Male,2005,
Deka Pool,Baboon,Male,2006,10
Deka Pool,Baboon,Male,2007,10
Deka Pool,Baboon,Male,2008,10
Deka Pool,Baboon,Male,2009,10
Deka Pool,Baboon,Male,2010,10
Deka Pool,Baboon,Male,2011,10
Deka Pool,Baboon,Male,2012,10
Deka Pool,Baboon,Male,2013,10
Deka Pool,Baboon,Male,2014,10
Deka Pool,Baboon,Male,2015,10
Deka Pool,Baboon,Male,2016,10
Deka Pool,Baboon,Male,2017,10
Deka Pool,Baboon,Male,2018,10
Deka Pool,Buffalo,Female,2000,
Deka Pool,Buffalo,Female,2001,
Deka Pool,Buffalo,Female,2002,
Deka Pool,Buffalo,Female,2003,
Deka Pool,Buffalo,Female,2004,
Deka Pool,Buffalo,Female,2005,
Deka Pool,Buffalo,Female,2006,2
Deka Pool,Buffalo,Female,2007,2
Deka Pool,Buffalo,Female,2008,0
Deka Pool,Buffalo,Female,2009,0
Deka Pool,Buffalo,Female,2010,0
Deka Pool,Buffalo,Female,2011,0
Deka Pool,Buffalo,Female,2012,0
Deka Pool,Buffalo,Female,2013,0
Deka Pool,Buffalo,Female,2014,0
Deka Pool,Buffalo,Female,2015,0
Deka Pool,Buffalo,Female,2016,0
Deka Pool,Buffalo,Female,2017,0
Deka Pool,Buffalo,Female,2018,0
Deka Pool,Buffalo,Male,2000,
Deka Pool,Buffalo,Male,2001,
Deka Pool,Buffalo,Male,2002,
Deka Pool,Buffalo,Male,2003,
Deka Pool,Buffalo,Male,2004,
Deka Pool,Buffalo,Male,2005,
Deka Pool,Buffalo,Male,2006,6
Deka Pool,Buffalo,Male,2007,5
Deka Pool,Buffalo,Male,2008,5
Deka Pool,Buffalo,Male,2009,5
Deka Pool,Buffalo,Male,2010,8
Deka Pool,Buffalo,Male,2011,8
Deka Pool,Buffalo,Male,2012,8
Deka Pool,Buffalo,Male,2013,8
Deka Pool,Buffalo,Male,2014,8
Deka Pool,Buffalo,Male,2015,8
Deka Pool,Buffalo,Male,2016,9
Deka Pool,Buffalo,Male,2017,9
Deka Pool,Buffalo,Male,2018,9
Deka Pool,Bushbuck,Male,2000,
Deka Pool,Bushbuck,Male,2001,
Deka Pool,Bushbuck,Male,2002,
Deka Pool,Bushbuck,Male,2003,
Deka Pool,Bushbuck,Male,2004,
Deka Pool,Bushbuck,Male,2005,
Deka Pool,Bushbuck,Male,2006,2
Deka Pool,Bushbuck,Male,2007,2
Deka Pool,Bushbuck,Male,2008,2
Deka Pool,Bushbuck,Male,2009,2
Deka Pool,Bushbuck,Male,2010,2
Deka Pool,Bushbuck,Male,2011,2
Deka Pool,Bushbuck,Male,2012,2
Deka Pool,Bushbuck,Male,2013,2
Deka Pool,Bushbuck,Male,2014,2
Deka Pool,Bushbuck,Male,2015,2
Deka Pool,Bushbuck,Male,2016,2
Deka Pool,Bushbuck,Male,2017,2
Deka Pool,Bushbuck,Male,2018,2
Deka Pool,Civet,Either,2000,
Deka Pool,Civet,Either,2001,
Deka Pool,Civet,Either,2002,
Deka Pool,Civet,Either,2003,
Deka Pool,Civet,Either,2004,
Deka Pool,Civet,Either,2005,
Deka Pool,Civet,Either,2006,10
Deka Pool,Civet,Either,2007,10
Deka Pool,Civet,Either,2008,10
Deka Pool,Civet,Either,2009,10
Deka Pool,Civet,Either,2010,10
Deka Pool,Civet,Either,2011,10
Deka Pool,Civet,Either,2012,10
Deka Pool,Civet,Either,2013,10
Deka Pool,Civet,Either,2014,10
Deka Pool,Civet,Either,2015,10
Deka Pool,Civet,Either,2016,4
Deka Pool,Civet,Either,2017,4
Deka Pool,Civet,Either,2018,4
Deka Pool,Crocodile,Male,2000,
Deka Pool,Crocodile,Male,2001,
Deka Pool,Crocodile,Male,2002,
Deka Pool,Crocodile,Male,2003,
