"","Species","Block","Sex","Year","Quota","Adult.Body.Mass.Kg","quota_weight"
"1","Buffalo","Hwange 2","Female",2002,NA,646.33299,NA
"2","Buffalo","Matetsi 5","Female",2001,NA,646.33299,NA
"3","Buffalo","Matetsi 6","Male",2003,NA,646.33299,NA
"4","Buffalo","Matetsi 2","Male",2004,NA,646.33299,NA
"5","Buffalo","Matetsi 5","Male",2015,14,646.33299,9048.66186
"6","Buffalo","Hwange 2","Female",2006,1,646.33299,646.33299
"7","Buffalo","Matetsi 6","Male",2004,NA,646.33299,NA
"8","Buffalo","Hwange 2","Female",2001,NA,646.33299,NA
"9","Buffalo","Hwange 1","Male",2004,NA,646.33299,NA
"10","Buffalo","Hwange 2","Female",2003,NA,646.33299,NA
"11","Buffalo","Hwange 2","Female",2000,NA,646.33299,NA
"12","Buffalo","Matetsi 2","Male",2005,NA,646.33299,NA
"13","Buffalo","Hwange 1","Male",2003,NA,646.33299,NA
"14","Buffalo","Matetsi 6","Female",2016,0,646.33299,0
"15","Buffalo","Matetsi 6","Male",2002,NA,646.33299,NA
"16","Buffalo","Matetsi 5","Male",2018,15,646.33299,9694.99485
"17","Buffalo","Matetsi 5","Male",2016,15,646.33299,9694.99485
"18","Buffalo","Matetsi 1","Male",2016,14,646.33299,9048.66186
"19","Buffalo","Matetsi 6","Male",2005,NA,646.33299,NA
"20","Buffalo","Matetsi 5","Female",2002,NA,646.33299,NA
"21","Buffalo","Hwange 2","Female",2005,NA,646.33299,NA
"22","Buffalo","Matetsi 5","Female",2008,3,646.33299,1938.99897
"23","Buffalo","Hwange 2","Female",2011,0,646.33299,0
"24","Buffalo","Matetsi 5","Female",2000,NA,646.33299,NA
"25","Buffalo","Hwange 2","Female",2004,NA,646.33299,NA
"26","Buffalo","Hwange 1","Male",2005,NA,646.33299,NA
"27","Buffalo","Matetsi 5","Male",2017,15,646.33299,9694.99485
"28","Buffalo","Matetsi 2","Male",2002,NA,646.33299,NA
"29","Buffalo","Matetsi 1","Male",2018,21,646.33299,13572.99279
"30","Buffalo","Matetsi 6","Female",2017,0,646.33299,0
"31","Buffalo","Kazuma","Male",2003,20,646.33299,12926.6598
"32","Buffalo","Deka Pool","Male",2014,8,646.33299,5170.66392
"33","Buffalo","Deka Tail","Female",2017,0,646.33299,0
"34","Buffalo","Hwange 2","Male",2015,3,646.33299,1938.99897
"35","Buffalo","Matetsi 6","Female",2007,3,646.33299,1938.99897
"36","Buffalo","Matetsi 6","Male",2000,NA,646.33299,NA
"37","Buffalo","Matetsi 6","Male",2001,NA,646.33299,NA
"38","Buffalo","Matetsi 5","Female",2003,NA,646.33299,NA
"39","Buffalo","Matetsi 2","Male",2007,12,646.33299,7755.99588
"40","Buffalo","Deka Tail","Female",2007,4,646.33299,2585.33196
"41","Buffalo","Matetsi 5","Male",2013,13,646.33299,8402.32887
"42","Buffalo","Matetsi 5","Male",2014,14,646.33299,9048.66186
"43","Buffalo","Hwange 2","Female",2010,0,646.33299,0
"44","Buffalo","Matetsi 2","Female",2011,0,646.33299,0
"45","Buffalo","Hwange 2","Male",2016,3,646.33299,1938.99897
"46","Buffalo","Hwange 2","Male",2014,3,646.33299,1938.99897
"47","Buffalo","Hwange 2","Female",2012,0,646.33299,0
"48","Buffalo","Matetsi 6","Male",2006,15,646.33299,9694.99485
"49","Buffalo","Matetsi 5","Female",2004,NA,646.33299,NA
"50","Buffalo","Hwange 2","Male",2017,3,646.33299,1938.99897
"51","Buffalo","Matetsi 1","Male",2017,20,646.33299,12926.6598
"52","Buffalo","Deka Pool","Male",2015,8,646.33299,5170.66392
"53","Buffalo","Kazuma","Male",2002,19,646.33299,12280.32681
"54","Buffalo","Matetsi 6","Male",2007,14,646.33299,9048.66186
"55","Buffalo","Matetsi 5","Female",2007,3,646.33299,1938.99897
"56","Buffalo","Matetsi 6","Female",2008,3,646.33299,1938.99897
"57","Buffalo","Kazuma","Male",2005,16,646.33299,10341.32784
"58","Buffalo","Matetsi 3","Male",2008,13,646.33299,8402.32887
"59","Buffalo","Kazuma","Male",2004,20,646.33299,12926.6598
"60","Buffalo","Deka Tail","Male",2003,NA,646.33299,NA
"61","Buffalo","Deka Tail","Male",2007,8,646.33299,5170.66392
"62","Buffalo","Deka Tail","Male",2009,8,646.33299,5170.66392
"63","Buffalo","Matetsi 3","Male",2009,13,646.33299,8402.32887
