"country","date","land use (tenure)","area_km2","npp"
"BW",2000-02-15,"Commercial Agriculture (Private)",285.644852714432,5850.04132270813
"BW",2000-02-15,"Forest (State)",2525.80424739454,74838.037955761
"BW",2000-02-15,"Mixed (Private)",2796.3728082893,69021.3111717701
"BW",2000-02-15,"Wildlife (State)",405.799737951947,10604.0434892178
"BW",2000-03-15,"Commercial Agriculture (Private)",285.644852714432,4294.0275349617
"BW",2000-03-15,"Forest (State)",2525.80424739454,59774.1101310253
"BW",2000-03-15,"Mixed (Private)",2796.3728082893,54348.0040830374
"BW",2000-03-15,"Wildlife (State)",405.799737951947,8881.13961970806
"BW",2000-04-15,"Commercial Agriculture (Private)",285.644852714432,3953.4566719532
"BW",2000-04-15,"Forest (State)",2525.80424739454,51212.002912879
"BW",2000-04-15,"Mixed (Private)",2796.3728082893,48597.0098613501
"BW",2000-04-15,"Wildlife (State)",405.799737951947,7737.86226797104
"BW",2000-05-15,"Commercial Agriculture (Private)",285.644852714432,2914.79525303841
"BW",2000-05-15,"Forest (State)",2525.80424739454,39585.1734280586
"BW",2000-05-15,"Mixed (Private)",2796.3728082893,37579.1554764509
"BW",2000-05-15,"Wildlife (State)",405.799737951947,6214.7717448473
"BW",2000-06-15,"Commercial Agriculture (Private)",285.644852714432,2219.56889247894
"BW",2000-06-15,"Forest (State)",2525.80424739454,30524.8487198353
"BW",2000-06-15,"Mixed (Private)",2796.3728082893,28229.5785474181
"BW",2000-06-15,"Wildlife (State)",405.799737951947,4447.75394636393
"BW",2000-07-15,"Commercial Agriculture (Private)",285.644852714432,2031.36022984982
"BW",2000-07-15,"Forest (State)",2525.80424739454,27614.1693152189
"BW",2000-07-15,"Mixed (Private)",2796.3728082893,25251.6947975755
"BW",2000-07-15,"Wildlife (State)",405.799737951947,3959.4271273613
"BW",2000-08-15,"Commercial Agriculture (Private)",285.644852714432,1283.69290149212
"BW",2000-08-15,"Forest (State)",2525.80424739454,17262.6042842865
"BW",2000-08-15,"Mixed (Private)",2796.3728082893,15084.1160719097
"BW",2000-08-15,"Wildlife (State)",405.799737951947,2250.96264371276
"BW",2000-09-15,"Commercial Agriculture (Private)",285.644852714432,203.811025112867
"BW",2000-09-15,"Forest (State)",2525.80424739454,3433.19489781559
"BW",2000-09-15,"Mixed (Private)",2796.3728082893,2086.76379104704
"BW",2000-09-15,"Wildlife (State)",405.799737951947,211.582675993443
"BW",2000-10-15,"Commercial Agriculture (Private)",285.644852714432,344.155517205596
"BW",2000-10-15,"Forest (State)",2525.80424739454,6140.81296408176
"BW",2000-10-15,"Mixed (Private)",2796.3728082893,4334.93313711882
"BW",2000-10-15,"Wildlife (State)",405.799737951947,596.946859940886
"BW",2000-11-15,"Commercial Agriculture (Private)",285.644852714432,2837.69883179665
"BW",2000-11-15,"Forest (State)",2525.80424739454,45916.650175333
"BW",2000-11-15,"Mixed (Private)",2796.3728082893,34259.6676054597
"BW",2000-11-15,"Wildlife (State)",405.799737951947,4042.13391155005
"BW",2000-12-15,"Commercial Agriculture (Private)",285.644852714432,3158.48626732826
"BW",2000-12-15,"Forest (State)",2525.80424739454,48054.71129632
"BW",2000-12-15,"Mixed (Private)",2796.3728082893,42025.2085418701
"BW",2000-12-15,"Wildlife (State)",405.799737951947,4933.15747392178
"BW",2001-01-15,"Commercial Agriculture (Private)",285.644852714432,3746.49801135063
"BW",2001-01-15,"Forest (State)",2525.80424739454,50958.391915679
"BW",2001-01-15,"Mixed (Private)",2796.3728082893,49218.5353620052
"BW",2001-01-15,"Wildlife (State)",405.799737951947,7216.1396728754
"BW",2001-02-15,"Commercial Agriculture (Private)",285.644852714432,3643.06298327446
"BW",2001-02-15,"Forest (State)",2525.80424739454,48627.988011241
"BW",2001-02-15,"Mixed (Private)",2796.3728082893,45041.8328117132
"BW",2001-02-15,"Wildlife (State)",405.799737951947,6521.03143835068
"BW",2001-03-15,"Commercial Agriculture (Private)",285.644852714432,4663.74210095406
"BW",2001-03-15,"Forest (State)",2525.80424739454,59417.8602645397
"BW",2001-03-15,"Mixed (Private)",2796.3728082893,58118.6732517481
"BW",2001-03-15,"Wildlife (State)",405.799737951947,8996.47445237637
"BW",2001-04-15,"Commercial Agriculture (Private)",285.644852714432,2618.81107878685
"BW",2001-04-15,"Forest (State)",2525.80424739454,35198.7660018206
"BW",2001-04-15,"Mixed (Private)",2796.3728082893,32702.2659915686
"BW",2001-04-15,"Wildlife (State)",405.799737951947,4991.74005067348
"BW",2001-05-15,"Commercial Agriculture (Private)",285.644852714432,3322.2756074667
"BW",2001-05-15,"Forest (State)",2525.80424739454,43325.7248893976
"BW",2001-05-15,"Mixed (Private)",2796.3728082893,39465.6419801712
"BW",2001-05-15,"Wildlife (State)",405.799737951947,5733.8268289566
"BW",2001-06-15,"Commercial Agriculture (Private)",285.644852714432,2786.85238277912
"BW",2001-06-15,"Forest (State)",2525.80424739454,35097.2207376361
"BW",2001-06-15,"Mixed (Private)",2796.3728082893,31174.7462572455
"BW",2001-06-15,"Wildlife (State)",405.799737951947,4447.04532575607
"BW",2001-07-15,"Commercial Agriculture (Private)",285.644852714432,2378.3385900259
"BW",2001-07-15,"Forest (State)",2525.80424739454,32153.411201179
"BW",2001-07-15,"Mixed (Private)",2796.3728082893,27969.0276365876
"BW",2001-07-15,"Wildlife (State)",405.799737951947,4156.81890106201
"BW",2001-08-15,"Commercial Agriculture (Private)",285.644852714432,775.080715566874
"BW",2001-08-15,"Forest (State)",2525.80424739454,11525.8132160902
"BW",2001-08-15,"Mixed (Private)",2796.3728082893,9560.39576628804
"BW",2001-08-15,"Wildlife (State)",405.799737951947,1427.4389680326
"BW",2001-09-15,"Commercial Agriculture (Private)",285.644852714432,256.931105330586
"BW",2001-09-15,"Forest (State)",2525.80424739454,4804.66143429279
"BW",2001-09-15,"Mixed (Private)",2796.3728082893,2824.27365167439
"BW",2001-09-15,"Wildlife (State)",405.799737951947,382.163389399648
"BW",2001-10-15,"Commercial Agriculture (Private)",285.644852714432,1140.86809808016
"BW",2001-10-15,"Forest (State)",2525.80424739454,22135.9509800673
"BW",2001-10-15,"Mixed (Private)",2796.3728082893,15677.8269380927
"BW",2001-10-15,"Wildlife (State)",405.799737951947,2608.95475071669
"BW",2001-11-15,"Commercial Agriculture (Private)",285.644852714432,3506.11411309242
"BW",2001-11-15,"Forest (State)",2525.80424739454,55059.3264687061
"BW",2001-11-15,"Mixed (Private)",2796.3728082893,43828.0724179745
"BW",2001-11-15,"Wildlife (State)",405.799737951947,5858.10814237595
"BW",2001-12-15,"Commercial Agriculture (Private)",285.644852714432,4906.96072936058
"BW",2001-12-15,"Forest (State)",2525.80424739454,71025.0844545364
"BW",2001-12-15,"Mixed (Private)",2796.3728082893,64638.1812918186
"BW",2001-12-15,"Wildlife (State)",405.799737951947,9600.78527283669
"BW",2002-01-15,"Commercial Agriculture (Private)",285.644852714432,5082.26574158669
"BW",2002-01-15,"Forest (State)",2525.80424739454,73418.618064642
"BW",2002-01-15,"Mixed (Private)",2796.3728082893,65627.7672948837
"BW",2002-01-15,"Wildlife (State)",405.799737951947,9984.40733575821
"BW",2002-02-15,"Commercial Agriculture (Private)",285.644852714432,5682.61989951134
"BW",2002-02-15,"Forest (State)",2525.80424739454,71970.1434953213
"BW",2002-02-15,"Mixed (Private)",2796.3728082893,65823.4462869167
"BW",2002-02-15,"Wildlife (State)",405.799737951947,10255.5885488987
"BW",2002-03-15,"Commercial Agriculture (Private)",285.644852714432,3186.86223208904
"BW",2002-03-15,"Forest (State)",2525.80424739454,41925.5866447687
"BW",2002-03-15,"Mixed (Private)",2796.3728082893,37467.7777951956
"BW",2002-03-15,"Wildlife (State)",405.799737951947,6236.12008559704
"BW",2002-04-15,"Commercial Agriculture (Private)",285.644852714432,2170.34645664692
"BW",2002-04-15,"Forest (State)",2525.80424739454,29285.7831357121
"BW",2002-04-15,"Mixed (Private)",2796.3728082893,24614.5786604881
"BW",2002-04-15,"Wildlife (State)",405.799737951947,3938.2264200449
"BW",2002-05-15,"Commercial Agriculture (Private)",285.644852714432,1694.18501985073
"BW",2002-05-15,"Forest (State)",2525.80424739454,25781.9252899885
"BW",2002-05-15,"Mixed (Private)",2796.3728082893,19908.1515129805
"BW",2002-05-15,"Wildlife (State)",405.799737951947,3074.30908572674
"BW",2002-06-15,"Commercial Agriculture (Private)",285.644852714432,1569.37204581499
"BW",2002-06-15,"Forest (State)",2525.80424739454,25142.6831896305
"BW",2002-06-15,"Mixed (Private)",2796.3728082893,19521.6356217265
