"country","date","lc_class","lc_desc","rain_lm2","temp_C","evap_lm2","roff_lm2","smc_lm2"
"ALL",1991-01-16,10,"Crops rainfed",219.047925088976,23.7165435480367,143.034862750286,16.1027942662541,79.015388066712
"ALL",1991-01-16,30,"Crop-tree mosaic",217.439851799798,23.3606501957852,143.567160448746,17.1952468246998,70.4762760916851
"ALL",1991-01-16,60,"Woodland",222.248397331151,23.5386788937708,143.268385942029,7.22998749593727,122.426405037083
"ALL",1991-01-16,120,"Shrubland",211.18590834916,23.9821257325549,140.721863390432,9.0250953646977,124.700145565839
"ALL",1991-01-16,130,"Grassland",252.900173649876,23.566508074285,145.720916106448,5.23818061473229,132.720338110797
"ALL",1991-01-16,180,"Flooded Vegetation",197.755848251491,24.2430335596988,139.55023581205,4.07342282211941,242.281102331061
"ALL",1991-01-16,190,"Built areas",196.584742626209,24.5827504107547,138.548191603498,28.3763371455006,42.2372387856826
"ALL",1991-01-16,200,"Bare areas",195.592824457071,23.7552356719971,140.55570041487,1.40813443598518,121.429911283155
"ALL",1991-01-16,210,"Water bodies",202.623067899865,24.6730252141538,141.765698808582,7.05369367519186,431.190866947174
"ALL",1991-02-15,10,"Crops rainfed",161.71148084582,22.8715369390505,130.921256040491,50.3494589761644,107.860411028462
"ALL",1991-02-15,30,"Crop-tree mosaic",157.77398788633,22.5017183844644,133.70350908289,47.6648035382107,93.6325905642899
"ALL",1991-02-15,60,"Woodland",153.248866483314,22.6813667599662,129.254123312187,31.8183007575367,164.532632184281
"ALL",1991-02-15,120,"Shrubland",165.687056531479,23.3228006262473,129.190661224475,31.8643302739906,167.779979130122
"ALL",1991-02-15,130,"Grassland",168.99805634229,23.0722945401802,131.657612657636,15.3648537977895,207.368909528052
"ALL",1991-02-15,180,"Flooded Vegetation",163.395366441507,23.5048711676347,129.776617741261,17.2993183547557,290.889836963854
"ALL",1991-02-15,190,"Built areas",176.656456223448,23.8811684611116,123.794724764354,78.3461438712449,41.9507907559281
"ALL",1991-02-15,200,"Bare areas",189.780263867578,23.1767948071162,131.2508755198,4.10371181201263,199.72198582689
"ALL",1991-02-15,210,"Water bodies",151.852430210135,23.7943067136018,130.33114307884,33.4505205188199,459.586702595586
"ALL",1991-03-16,10,"Crops rainfed",63.4461713734531,23.3691409800276,65.9484249942235,4.09948630740543,70.3677041471091
"ALL",1991-03-16,30,"Crop-tree mosaic",56.4712326261877,23.0236083773327,66.839905482199,1.11136335356906,58.1038232906231
"ALL",1991-03-16,60,"Woodland",58.5587614481062,22.9550830628678,84.3194221718529,1.7797324659272,119.591310587305
"ALL",1991-03-16,120,"Shrubland",61.3250138390335,23.2686848881795,79.4846882264503,2.77908413107069,136.662526282827
