"country","date","lc_class","lc_desc","function (x, y = NULL, na.rm = FALSE, use) 
{
    if (missing(use)) 
        use <- if (na.rm) 
            ""na.or.complete""
        else ""everything""
    na.method <- pmatch(use, c(""all.obs"", ""complete.obs"", ""pairwise.complete.obs"", ""everything"", ""na.or.complete""))
    if (is.na(na.method)) 
        stop(""invalid 'use' argument"")
    if (is.data.frame(x)) 
        x <- as.matrix(x)
    else stopifnot(is.atomic(x))
    if (is.data.frame(y)) 
        y <- as.matrix(y)
    else stopifnot(is.atomic(y))
    .Call(C_cov, x, y, na.method, FALSE)
}"
"BW",1991-01-16,10,"Crops rainfed",0.000102090865282711
"ZW",1991-01-16,10,"Crops rainfed",7.99798396466152e-05
"BW",1991-01-16,30,"Crop-tree mosaic",8.87452805470458e-05
"ZW",1991-01-16,30,"Crop-tree mosaic",8.03899679707159e-05
"BW",1991-01-16,60,"Woodland",9.96159777169502e-05
"ZW",1991-01-16,60,"Woodland",8.13156513159778e-05
"BW",1991-01-16,120,"Shrubland",9.55054467747179e-05
"ZW",1991-01-16,120,"Shrubland",7.36788011491206e-05
"BW",1991-01-16,130,"Grassland",0.000101559281818335
"ZW",1991-01-16,130,"Grassland",8.49418231834764e-05
"BW",1991-01-16,180,"Flooded Vegetation",7.19877569133894e-05
"ZW",1991-01-16,180,"Flooded Vegetation",7.55847364556617e-05
"BW",1991-01-16,190,"Built areas",7.19276140443981e-05
"ZW",1991-01-16,190,"Built areas",7.34045627389654e-05
"BW",1991-01-16,200,"Bare areas",7.30653246709403e-05
"ZW",1991-01-16,200,"Bare areas",7.22489639883861e-05
"ZW",1991-01-16,210,"Water bodies",7.5650786999651e-05
"BW",1991-02-15,10,"Crops rainfed",9.72750054605417e-05
"ZW",1991-02-15,10,"Crops rainfed",6.41429021280782e-05
"BW",1991-02-15,30,"Crop-tree mosaic",7.69104760310052e-05
"ZW",1991-02-15,30,"Crop-tree mosaic",6.39916528496115e-05
"BW",1991-02-15,60,"Woodland",8.23040752726193e-05
"ZW",1991-02-15,60,"Woodland",6.14527973215498e-05
"BW",1991-02-15,120,"Shrubland",8.07355419310035e-05
"ZW",1991-02-15,120,"Shrubland",6.46879858558482e-05
"BW",1991-02-15,130,"Grassland",7.64917160696824e-05
"ZW",1991-02-15,130,"Grassland",6.10441303866377e-05
"BW",1991-02-15,180,"Flooded Vegetation",7.24628785187756e-05
"ZW",1991-02-15,180,"Flooded Vegetation",6.28716698907411e-05
"BW",1991-02-15,190,"Built areas",7.15983042027801e-05
"ZW",1991-02-15,190,"Built areas",7.30306550272459e-05
"BW",1991-02-15,200,"Bare areas",7.86993008953546e-05
"ZW",1991-02-15,200,"Bare areas",7.34733475837857e-05
"ZW",1991-02-15,210,"Water bodies",6.27696884135809e-05
"BW",1991-03-16,10,"Crops rainfed",2.01737181181303e-05
"ZW",1991-03-16,10,"Crops rainfed",2.40001555640415e-05
"BW",1991-03-16,30,"Crop-tree mosaic",2.04745771287182e-05
"ZW",1991-03-16,30,"Crop-tree mosaic",2.11478219982209e-05
"BW",1991-03-16,60,"Woodland",2.07346124925237e-05
"ZW",1991-03-16,60,"Woodland",2.19761143937302e-05
"BW",1991-03-16,120,"Shrubland",2.13967719134814e-05
"ZW",1991-03-16,120,"Shrubland",2.33614003017208e-05
"BW",1991-03-16,130,"Grassland",2.16211313779599e-05
"ZW",1991-03-16,130,"Grassland",2.19850427796885e-05
"BW",1991-03-16,180,"Flooded Vegetation",2.28251769963331e-05
"ZW",1991-03-16,180,"Flooded Vegetation",1.85812859154584e-05
"BW",1991-03-16,190,"Built areas",2.28642820729874e-05
"ZW",1991-03-16,190,"Built areas",2.78531109544435e-05
"BW",1991-03-16,200,"Bare areas",2.2523307848599e-05
"ZW",1991-03-16,200,"Bare areas",2.85604346572654e-05
"ZW",1991-03-16,210,"Water bodies",1.50031948539001e-05
"BW",1991-04-16,10,"Crops rainfed",1.10454809467473e-06
"ZW",1991-04-16,10,"Crops rainfed",3.94737801412882e-06
"BW",1991-04-16,30,"Crop-tree mosaic",1.32229521976011e-06
"ZW",1991-04-16,30,"Crop-tree mosaic",3.65684301883072e-06
"BW",1991-04-16,60,"Woodland",1.55467256167854e-06
"ZW",1991-04-16,60,"Woodland",4.52911522548884e-06
"BW",1991-04-16,120,"Shrubland",1.78698341832138e-06
"ZW",1991-04-16,120,"Shrubland",3.37578186303448e-06
"BW",1991-04-16,130,"Grassland",1.92484544479981e-06
"ZW",1991-04-16,130,"Grassland",3.50312488417193e-06
