"","country","year","from_class","to_class","from_desc","to_desc","area_km2","perc_affected","change"
"18","BW",2000,10,10,"Crops rainfed","Crops rainfed",519.96662784,12.2859679533252,"No change"
"42","BW",2000,30,30,"Crop-tree mosaic","Crop-tree mosaic",67.45609728,1.59387815499091,"No change"
"86","BW",2000,30,60,"Crop-tree mosaic","Woodland",0.08946432,0.00211389675728237,"Woodland expansion"
"23","BW",2000,60,10,"Woodland","Crops rainfed",0.35785728,0.0084555870291295,"Crops rainfed expansion"
"73","BW",2000,60,60,"Woodland","Woodland",617.03541504,14.5795459349765,"No change"
"77","BW",2000,120,60,"Shrubland","Woodland",2.50500096,0.0591891092039065,"Woodland expansion"
"121","BW",2000,120,120,"Shrubland","Shrubland",2889.697536,68.2788652602207,"No change"
"154","BW",2000,120,190,"Shrubland","Built areas",0.08946432,0.00211389675728237,"Built areas expansion"
"75","BW",2000,130,60,"Grassland","Woodland",0.71571456,0.016911174058259,"Woodland expansion"
"145","BW",2000,130,130,"Grassland","Grassland",175.3500672,4.14323764427345,"No change"
"165","BW",2000,190,190,"Built areas","Built areas",0.08946432,0.00211389675728237,"No change"
"190","BW",2000,200,200,"Bare areas","Bare areas",5.54678784,0.131061598951507,"No change"
"8","BW",2001,10,10,"Crops rainfed","Crops rainfed",520.32448512,12.2944235403543,"No change"
"34","BW",2001,30,30,"Crop-tree mosaic","Crop-tree mosaic",67.18770432,1.58753646471906,"No change"
"101","BW",2001,30,60,"Crop-tree mosaic","Woodland",0.26839296,0.00634169027184712,"Woodland expansion"
"10","BW",2001,60,10,"Woodland","Crops rainfed",0.35785728,0.0084555870291295,"Crops rainfed expansion"
"56","BW",2001,60,60,"Woodland","Woodland",614.26202112,14.5140151355008,"No change"
"111","BW",2001,60,120,"Woodland","Shrubland",0.4473216,0.0105694837864119,"Shrubland expansion"
"96","BW",2001,120,60,"Shrubland","Woodland",7.69393152,0.181795121126284,"Woodland expansion"
"129","BW",2001,120,120,"Shrubland","Shrubland",2881.6457472,68.0886145520653,"No change"
"174","BW",2001,120,200,"Shrubland","Bare areas",0.35785728,0.0084555870291295,"Bare areas expansion"
"88","BW",2001,130,60,"Grassland","Woodland",0.62625024,0.0147972773009766,"Woodland expansion"
"143","BW",2001,130,130,"Grassland","Grassland",174.72381696,4.12844036697248,"No change"
"170","BW",2001,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"176","BW",2001,200,200,"Bare areas","Bare areas",5.54678784,0.131061598951507,"No change"
"7","BW",2002,10,10,"Crops rainfed","Crops rainfed",520.6823424,12.3028791273834,"No change"
"31","BW",2002,30,30,"Crop-tree mosaic","Crop-tree mosaic",67.18770432,1.58753646471906,"No change"
"65","BW",2002,60,60,"Woodland","Woodland",618.37737984,14.6112543863358,"No change"
"66","BW",2002,120,60,"Shrubland","Woodland",0.53678592,0.0126833805436942,"Woodland expansion"
"123","BW",2002,120,120,"Shrubland","Shrubland",2881.55628288,68.086500655308,"No change"
"148","BW",2002,130,130,"Grassland","Grassland",174.72381696,4.12844036697248,"No change"
"172","BW",2002,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"178","BW",2002,200,200,"Bare areas","Bare areas",5.90464512,0.139517185980637,"No change"
"17","BW",2003,10,10,"Crops rainfed","Crops rainfed",520.6823424,12.3028791273834,"No change"
"35","BW",2003,30,30,"Crop-tree mosaic","Crop-tree mosaic",67.18770432,1.58753646471906,"No change"
"21","BW",2003,60,10,"Woodland","Crops rainfed",0.8946432,0.0211389675728237,"Crops rainfed expansion"
"71","BW",2003,60,60,"Woodland","Woodland",617.84059392,14.5985710057921,"No change"
"113","BW",2003,120,120,"Shrubland","Shrubland",2881.55628288,68.086500655308,"No change"
"140","BW",2003,130,130,"Grassland","Grassland",174.72381696,4.12844036697248,"No change"
"159","BW",2003,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"173","BW",2003,200,200,"Bare areas","Bare areas",5.90464512,0.139517185980637,"No change"
"13","BW",2004,10,10,"Crops rainfed","Crops rainfed",521.5769856,12.3240180949562,"No change"
"25","BW",2004,30,30,"Crop-tree mosaic","Crop-tree mosaic",65.84573952,1.55582801335983,"No change"
"60","BW",2004,30,60,"Crop-tree mosaic","Woodland",1.3419648,0.0317084513592356,"Woodland expansion"
"9","BW",2004,60,10,"Woodland","Crops rainfed",0.08946432,0.00211389675728237,"Crops rainfed expansion"
"32","BW",2004,60,30,"Woodland","Crop-tree mosaic",0.08946432,0.00211389675728237,"Crop-tree mosaic expansion"
"48","BW",2004,60,60,"Woodland","Woodland",588.04897536,13.894643385617,"No change"
"80","BW",2004,120,60,"Shrubland","Woodland",8.76750336,0.207161882213673,"Woodland expansion"
"115","BW",2004,120,120,"Shrubland","Shrubland",2872.78877952,67.8793387730943,"No change"
"79","BW",2004,130,60,"Grassland","Woodland",1.43142912,0.033822348116518,"Woodland expansion"
"134","BW",2004,130,130,"Grassland","Grassland",173.29238784,4.09461801885596,"No change"
"155","BW",2004,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"183","BW",2004,200,200,"Bare areas","Bare areas",5.90464512,0.139517185980637,"No change"
"15","BW",2005,10,10,"Crops rainfed","Crops rainfed",521.66644992,12.3261319917135,"No change"
"39","BW",2005,30,30,"Crop-tree mosaic","Crop-tree mosaic",65.93520384,1.55794191011711,"No change"
"67","BW",2005,60,60,"Woodland","Woodland",600.39505152,14.186361138122,"No change"
"84","BW",2005,120,60,"Shrubland","Woodland",5.01000192,0.118378218407813,"Woodland expansion"
"120","BW",2005,120,120,"Shrubland","Shrubland",2867.7787776,67.7609605546865,"No change"
"90","BW",2005,130,60,"Grassland","Woodland",1.16303616,0.0274806578446709,"Woodland expansion"
"133","BW",2005,130,130,"Grassland","Grassland",172.12935168,4.06713736101129,"No change"
"156","BW",2005,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"191","BW",2005,200,200,"Bare areas","Bare areas",5.90464512,0.139517185980637,"No change"
"12","BW",2006,10,10,"Crops rainfed","Crops rainfed",521.21912832,12.3155625079271,"No change"
"58","BW",2006,10,60,"Crops rainfed","Woodland",0.4473216,0.0105694837864119,"Woodland expansion"
"28","BW",2006,30,30,"Crop-tree mosaic","Crop-tree mosaic",65.93520384,1.55794191011711,"No change"
"62","BW",2006,60,60,"Woodland","Woodland",606.03130368,14.3195366338308,"No change"
"55","BW",2006,120,60,"Shrubland","Woodland",1.25250048,0.0295945546019532,"Woodland expansion"
"119","BW",2006,120,120,"Shrubland","Shrubland",2866.52627712,67.7313660000846,"No change"
"144","BW",2006,130,130,"Grassland","Grassland",172.12935168,4.06713736101129,"No change"
"169","BW",2006,190,190,"Built areas","Built areas",0.17892864,0.00422779351456475,"No change"
"179","BW",2006,200,200,"Bare areas","Bare areas",5.90464512,0.139517185980637,"No change"
"4","BW",2007,10,10,"Crops rainfed","Crops rainfed",521.21912832,12.3155625079271,"No change"
"37","BW",2007,30,30,"Crop-tree mosaic","Crop-tree mosaic",65.93520384,1.55794191011711,"No change"
"59","BW",2007,60,60,"Woodland","Woodland",607.4627328,14.3533589819473,"No change"
"112","BW",2007,60,120,"Woodland","Shrubland",0.26839296,0.00634169027184712,"Shrubland expansion"
"92","BW",2007,120,60,"Shrubland","Woodland",4.0258944,0.0951253540777069,"Woodland expansion"
"118","BW",2007,120,120,"Shrubland","Shrubland",2862.50038272,67.6362406460069,"No change"
"85","BW",2007,130,60,"Grassland","Woodland",3.84696576,0.0908975605631421,"Woodland expansion"
"139","BW",2007,130,130,"Grassland","Grassland",168.28238592,3.97623980044815,"No change"
