"month","lc_class","lc_descr","burned_area_km2"
2001-01-01,10,"Crops rainfed",0
2001-01-01,30,"Crop-tree mosaic",0
2001-01-01,60,"Woodland",0.0900600000000001
2001-01-01,120,"Shrubland",4.86324000000001
2001-01-01,130,"Grassland",1.17078
2001-01-01,180,"Flooded Vegetation",0.450300000000001
2001-01-01,190,"Built areas",0
2001-01-01,200,"Bare areas",0
2001-01-01,210,"Water bodies",24.49632
2001-02-01,10,"Crops rainfed",0
2001-02-01,30,"Crop-tree mosaic",0
2001-02-01,60,"Woodland",0.0900600000000001
2001-02-01,120,"Shrubland",3.69246
2001-02-01,130,"Grassland",0.810540000000001
2001-02-01,180,"Flooded Vegetation",0.450300000000001
2001-02-01,190,"Built areas",0
2001-02-01,200,"Bare areas",0
2001-02-01,210,"Water bodies",24.49632
2001-03-01,10,"Crops rainfed",0
2001-03-01,30,"Crop-tree mosaic",0
2001-03-01,60,"Woodland",0.0900600000000001
2001-03-01,120,"Shrubland",3.69246
2001-03-01,130,"Grassland",0.810540000000001
2001-03-01,180,"Flooded Vegetation",0.450300000000001
2001-03-01,190,"Built areas",0
2001-03-01,200,"Bare areas",0
2001-03-01,210,"Water bodies",24.49632
2001-04-01,10,"Crops rainfed",0
2001-04-01,30,"Crop-tree mosaic",0
2001-04-01,60,"Woodland",0.0900600000000001
2001-04-01,120,"Shrubland",4.68312000000001
2001-04-01,130,"Grassland",0.810540000000001
2001-04-01,180,"Flooded Vegetation",0.450300000000001
2001-04-01,190,"Built areas",0
2001-04-01,200,"Bare areas",0
2001-04-01,210,"Water bodies",24.49632
2001-05-01,10,"Crops rainfed",0
2001-05-01,30,"Crop-tree mosaic",0
2001-05-01,60,"Woodland",0.0900600000000001
2001-05-01,120,"Shrubland",3.69246
2001-05-01,130,"Grassland",0.810540000000001
2001-05-01,180,"Flooded Vegetation",0.450300000000001
2001-05-01,190,"Built areas",0
2001-05-01,200,"Bare areas",0
2001-05-01,210,"Water bodies",24.49632
2001-06-01,10,"Crops rainfed",0.18012
2001-06-01,30,"Crop-tree mosaic",7.74516000000001
2001-06-01,60,"Woodland",0.990660000000001
2001-06-01,120,"Shrubland",29.89992
2001-06-01,130,"Grassland",7.92528000000001
2001-06-01,180,"Flooded Vegetation",0.450300000000001
2001-06-01,190,"Built areas",0
2001-06-01,200,"Bare areas",0
