"","year","country","land_use","class","description","area"
"112",1992,"BW","National Park","10","Crop rainfed",6.2625024
"121",1992,"BW","Other Land","10","Crop rainfed",0.80517888
"205",1992,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"294",1992,"BW","Safari Area","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",0.08946432
"505",1992,"BW","Other Land","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",420.57176832
"506",1992,"BW","Forest Reserve","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",59.40430848
"521",1992,"BW","National Park","100","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)",79.35485184
"618",1992,"BW","Other Land","11","Crop rainfed - herbaceous cover",2.59446528
"868",1992,"BW","Other Land","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",104.40486144
"939",1992,"BW","National Park","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",25.31840256
"986",1992,"BW","Forest Reserve","110","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",50.27894784
"1044",1992,"BW","Other Land","120","Shrubland",1720.57780224
"1091",1992,"BW","Safari Area","120","Shrubland",2.59446528
"1171",1992,"BW","National Park","120","Shrubland",0.62625024
"1291",1992,"BW","Forest Reserve","120","Shrubland",1185.49170432
"1304",1992,"BW","National Park","120","Shrubland",187.60667904
"1491",1992,"BW","Other Land","122","Shrubland deciduous",2.41553664
"1563",1992,"BW","Forest Reserve","122","Shrubland deciduous",0.17892864
"1691",1992,"BW","Other Land","130","Grassland",173.65024512
"1778",1992,"BW","National Park","130","Grassland",0.08946432
"1845",1992,"BW","Forest Reserve","130","Grassland",29.075904
"1860",1992,"BW","National Park","130","Grassland",5.3678592
"2017",1992,"BW","Other Land","180","Shrub or herbaceous cover flooded fresh/saline/brakish water",3.1312512
"2110",1992,"BW","Other Land","200","Bare areas",66.38252544
"2462",1992,"BW","Other Land","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",6.35196672
"2464",1992,"BW","Forest Reserve","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",58.42020096
"2493",1992,"BW","National Park","30","Mosaic cropland (>50%) / natural vegetation (tree/shrub/herbaceous cover) (<50%)",2.05767936
"2598",1992,"BW","National Park","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.22071552
"2607",1992,"BW","Other Land","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",37.03822848
"2620",1992,"BW","Forest Reserve","40","Mosaic natural vegetation (tree/shrub/herbaceous cover) (>50%) / cropland (<50%) ",3.75750144
"2821",1992,"BW","Other Land","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",11.80929024
"2930",1992,"BW","Forest Reserve","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",8.32018176
"3077",1992,"BW","National Park","60","Tree cover  broadleaved  deciduous  closed to open (>15%)",1.16303616
"3123",1992,"BW","Other Land","62","Tree cover  broadleaved  deciduous  open (15-40%)",184.20703488
"3149",1992,"BW","Safari Area","62","Tree cover  broadleaved  deciduous  open (15-40%)",1.07357184
"3250",1992,"BW","Forest Reserve","62","Tree cover  broadleaved  deciduous  open (15-40%)",770.37725952
"3346",1992,"BW","National Park","62","Tree cover  broadleaved  deciduous  open (15-40%)",52.87341312
"134",1993,"BW","Forest Reserve","10","Crop rainfed",57.97287936
"158",1993,"BW","Other Land","10","Crop rainfed",0.80517888
"218",1993,"BW","National Park","10","Crop rainfed",6.2625024
