"","year","country","land_use_tenure","lu_detail","lc_class","description","area_km2"
"1",2015,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"2",2008,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.53089536
"3",2017,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.02000384
"4",2001,"BW","Forest (State)","Forestry","10","Crops rainfed",59.9410944
"5",1997,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"6",2013,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.02000384
"7",2011,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",271.9715328
"8",2002,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",215.78793984
"9",2002,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"10",2001,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"11",2011,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.236608
"12",2018,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.27894784
"13",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"14",2006,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"15",2016,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.14714368
"16",2011,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"17",2014,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",218.91919104
"18",2014,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",271.79260416
"19",2012,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"20",2012,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.02000384
"21",2014,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",47.8634112
"22",2017,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",330.21280512
"23",2000,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"24",2004,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",281.99153664
"25",1992,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",8.76750336
"26",2012,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"27",2007,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"28",2004,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",219.72436992
"29",2017,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",220.61901312
"30",2000,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",327.61833984
"31",2014,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"32",2011,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"33",2017,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.14714368
"34",2018,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",3.66803712
"35",2016,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",269.2876032
"36",2010,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.53089536
"37",2009,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",47.4160896
"38",2003,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"39",2014,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"40",2018,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.14714368
"41",2005,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",49.02644736
"42",1992,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",201.83150592
"43",2011,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.53089536
"44",2012,"ZW","Wildlife (Private)","Wildlife","10","Crops rainfed",0.08946432
"45",2012,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",47.50555392
"46",2011,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",47.8634112
"47",2006,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"48",2004,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"49",2015,"BW","Forest (State)","Forestry","10","Crops rainfed",58.33073664
"50",2003,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"51",2015,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"52",1998,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"53",2007,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",48.84751872
"54",2009,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.93053952
"55",2013,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",47.8634112
"56",2000,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",209.97275904
"57",1993,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",48.3107328
"58",2001,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",322.9661952
"59",2014,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",47.4160896
"60",1995,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"61",1997,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"62",2015,"ZW","Wildlife (Private)","Wildlife","10","Crops rainfed",0.08946432
"63",1996,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",330.03387648
"64",2016,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",331.4653056
"65",2016,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",3.84696576
"66",1999,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",3.75750144
"67",2007,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"68",1997,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.81573376
"69",1993,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"70",2014,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"71",2006,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"72",2012,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"73",1999,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",282.52832256
"74",1996,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",8.85696768
"75",2014,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.02000384
"76",2013,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"77",2006,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"78",2011,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"79",1994,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"80",1995,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.05767936
"81",2017,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"82",2003,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"83",2010,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.93053952
"84",2012,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",331.10744832
"85",2007,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"86",2006,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.10946816
"87",2003,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",320.55065856
"88",2005,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",320.81905152
"89",2018,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",328.60244736
"90",2009,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"91",1999,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.2625024
"92",1996,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",3.22071552
"93",2005,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"94",2015,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",10.02000384
"95",1997,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.48321792
"96",2013,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"97",1994,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"98",2009,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",216.59311872
"99",1999,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"100",2007,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.79928832
"101",2018,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",11.00411136
"102",2017,"ZW","Wildlife (Private)","Wildlife","10","Crops rainfed",0.08946432
"103",2009,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"104",2018,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.32607232
"105",1993,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",273.93974784
"106",2012,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.93053952
"107",2016,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.53089536
"108",1999,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"109",2018,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"110",2018,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"111",2003,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"112",2017,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.41553664
"113",2004,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"114",2016,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"115",1994,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",8.76750336
"116",1999,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.81573376
"117",2016,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.45787648
"118",2001,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",283.42296576
"119",1995,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",48.3107328
"120",2004,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"121",1998,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.75161088
"122",2004,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",320.81905152
"123",2013,"ZW","Wildlife (Private)","Wildlife","10","Crops rainfed",0.08946432
"124",2009,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"125",1992,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",273.93974784
"126",2014,"BW","Forest (State)","Forestry","10","Crops rainfed",58.33073664
"127",2003,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",49.02644736
"128",2013,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",9.93053952
"129",2005,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",219.72436992
"130",2003,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",216.68258304
"131",1998,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",9.8410752
"132",1995,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",8.76750336
"133",2000,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.81573376
"134",2002,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",283.33350144
"135",2015,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",271.79260416
"136",2006,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"137",1992,"ZW","Forest (State)","Forestry","10","Crops rainfed",1.52089344
"138",2005,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"139",2011,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"140",2013,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",271.9715328
"141",1994,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",201.83150592
"142",2001,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.02000384
"143",2007,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"144",2009,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"145",2013,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"146",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",204.51543552
"147",2007,"ZW","Forest (State)","Forestry","10","Crops rainfed",3.04178688
"148",2010,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"149",1995,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",273.93974784
"150",2010,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"151",1993,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"152",1996,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"153",1997,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",273.93974784
"154",2015,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",331.64423424
"155",1995,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"156",1994,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.62035968
"157",2009,"BW","Forest (State)","Forestry","10","Crops rainfed",58.33073664
"158",2001,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"159",1992,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",9.8410752
"160",2013,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.50500096
"161",2009,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",47.8634112
"162",2001,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"163",2008,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"164",2009,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",324.93441024
"165",2018,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"166",2009,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"167",2009,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.236608
"168",2011,"ZW","Mixed (Private)","Wildlife","10","Crops rainfed",0.08946432
"169",2010,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"170",2003,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.35196672
"171",2008,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"172",1997,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"173",2013,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.53089536
"174",2017,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",267.85617408
"175",2012,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",47.8634112
"176",1996,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"177",2010,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",47.4160896
"178",2015,"BW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",4.0258944
"179",1992,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",330.03387648
"180",1998,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"181",1994,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",48.3107328
"182",2008,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",47.05823232
"183",2016,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",10.7357184
"184",2016,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"185",2002,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",48.48966144
"186",1995,"BW","Wildlife (State)","Wildlife","10","Crops rainfed",6.2625024
"187",2001,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.62035968
"188",2008,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"189",2000,"ZW","Mixed (Private)","Arable/pastoral/built/mining","10","Crops rainfed",49.11591168
"190",2003,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.86285824
"191",2005,"BW","Forest (State)","Forestry","10","Crops rainfed",60.8357376
"192",1998,"ZW","Wildlife (State)","Wildlife","10","Crops rainfed",330.30226944
"193",2004,"ZW","Forest (State)","Forestry","10","Crops rainfed",2.236608
"194",2009,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",50.90519808
"195",2018,"ZW","Wildlife (Communal)","Wildlife","10","Crops rainfed",267.58778112
"196",2015,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",218.91919104
"197",2007,"BW","Forest (State)","Forestry","10","Crops rainfed",60.388416
"198",1996,"ZW","Mixed (Private)","Arable/pastoral/built","10","Crops rainfed",6.62035968
"199",2004,"ZW","Forest (State)","Forestry","10","Crops rainfed",0.26839296
"200",1999,"BW","Commercial Agriculture (Private)","Commercial Agriculture","10","Crops rainfed",0.17892864
"201",1993,"ZW","Mixed (Communal)","Arable/pastoral/built","10","Crops rainfed",201.83150592
